Movie_ID_Alias,Movie_Genres,Movie_ReleaseYear
1,Horror|Sci-Fi,1958
2,Comedy|Horror,1992
3,Horror,1959
4,Horror|Thriller,1996
5,,-
6,Adventure|Fantasy,1991
7,Adventure|Children's|Fantasy,1959
8,Drama|Fantasy,1986
9,Action|Thriller,1992
10,Drama,1984
11,Comedy,1991
12,Horror,1931
13,Action|Thriller,1988
14,Comedy|Romance,1995
15,Adventure|War,1963
16,Action|Thriller,2000
17,Action|Sci-Fi,2000
18,Action|Drama,2000
19,Comedy,2000
20,Comedy|Thriller,2000
21,Crime|Thriller,2000
22,Comedy|Horror|Thriller,2000
23,Comedy|Drama,2000
24,Comedy,2000
25,,-
26,Comedy,2000
27,Drama,1971
28,Action|Adventure|Comedy|Horror,1987
29,Horror,1973
30,Drama|Romance,1997
31,Crime|Thriller,1992
32,Drama|Film-Noir,1984
33,Action|Drama|War,1961
34,,-
35,Drama|War,1953
36,Drama|Thriller,1996
37,,-
38,Horror|Sci-Fi,1956
39,Drama,1985
40,Comedy|Drama,1999
41,Documentary,1984
42,Comedy|Drama,1983
43,Drama|Thriller,1976
44,Drama,1998
45,Comedy|Drama,1973
46,Adventure|Comedy|Sci-Fi,1984
47,Drama,1997
48,Action|Adventure|Sci-Fi|Thriller,1989
49,Comedy,1994
50,Comedy,1995
51,Comedy|Drama,1998
52,Drama,1985
53,Drama,1989
54,Comedy|War,1971
55,Comedy|Romance,1999
56,Drama,1998
57,Drama,1948
58,Comedy,1997
59,Comedy|Horror,1987
60,Drama|Thriller,1995
61,Action|Drama,1991
62,Drama,1997
63,Sci-Fi,1926
64,Comedy,1995
65,Comedy|Horror,1974
66,Comedy,1995
67,Comedy,1998
68,Comedy|Drama,1997
69,Documentary,1998
70,Drama,1998
71,Comedy|Mystery|Romance|Thriller,1938
72,Romance|Thriller,1940
73,Comedy|Crime,2000
74,Comedy|Romance,1998
75,Action|Sci-Fi|Thriller,1999
76,Drama|Romance|Thriller,1985
77,Drama,1998
78,Comedy|Drama,1994
79,Comedy,1992
80,Comedy,1993
81,Comedy,1989
82,Drama|Romance,1998
83,Comedy,1998
84,Drama,1993
85,Sci-Fi|Thriller,1995
86,Comedy,1997
87,Action|Adventure|Fantasy|Sci-Fi,1982
88,Comedy,1978
89,Comedy,1996
90,Comedy,1986
91,Action|Comedy|Fantasy,1992
92,Romance,1997
93,Action|Romance,1986
94,Comedy|Romance,1994
95,Action|Adventure|Comedy,1993
96,,-
97,Comedy,1992
98,Adventure|Children's,1960
99,Comedy,1999
100,Drama,1987
101,,-
102,,-
103,,-
104,Drama,1996
105,Action,1994
106,,-
107,Horror|Sci-Fi,1995
108,Comedy,1994
109,Comedy|Drama|Romance,1998
110,Action|Drama,1998
111,Animation|Children's|Musical,1959
112,Comedy,1984
113,Drama,1994
114,Comedy|Romance,1995
115,Drama|Romance,1996
116,Drama,1994
117,Adventure|Children's|Fantasy|Sci-Fi,1985
118,Action|Drama,1985
119,Comedy,1997
120,Comedy|Drama,1997
121,Action|Sci-Fi|Thriller,1990
122,Horror|Thriller,1988
123,Action|Adventure,1972
124,Crime|Thriller,1997
125,Drama,1998
126,Mystery|Thriller,1998
127,Horror,1989
128,Sci-Fi|Thriller,1998
129,Drama|Romance,1996
130,Film-Noir|Mystery|Thriller,1998
131,Drama,1995
132,Comedy,1986
133,Comedy,1982
134,Thriller,1991
135,Adventure|Comedy,1991
136,Drama|Romance,1996
137,Horror,1984
138,Adventure|Sci-Fi,1985
139,Drama,1993
140,Action|Adventure|Comedy,1999
141,Action|Thriller,1998
142,Comedy|Romance,1993
143,Comedy,1993
144,Drama,1995
145,Comedy|Romance,1996
146,Action,1997
147,Comedy,1994
148,Comedy,1995
149,Comedy,1979
150,Drama|Romance,1997
151,Animation|Children's|Comedy|Musical|Romance,1989
152,Action|Comedy|Crime|Drama,1989
153,Romance|Thriller,1997
154,Drama|Romance,1995
155,Comedy,1983
156,Action|Adventure|Drama,1986
157,Comedy,1998
158,Documentary|Musical,1998
159,Crime|Drama|Thriller,1995
160,Thriller,1994
161,Thriller,1995
162,Drama|Romance,1994
163,Adventure|Children's|Fantasy,1995
164,Comedy|Romance,1992
165,Comedy,1997
