User_ID_Alias,User_Age,User_Gender,User_Occupation,User_ZipCode
1,18,M,7,55403
2,25,M,1,10463
3,56,M,13,12124
4,25,M,15,15217
5,18,M,4,2138
6,25,M,15,94062
7,25,M,4,19713
8,25,M,0,27403
9,25,F,4,73160
10,25,M,17,55112
11,18,M,10,4576
12,18,M,18,98118
13,25,M,12,10002
14,25,M,4,95616
15,50,M,6,193122042
16,18,M,4,55455
17,18,M,4,48135
18,35,M,16,98133
19,50,F,0,2139
20,25,F,0,2176
21,50,M,0,98226
22,25,M,17,53188
23,18,M,14,43725
24,1,M,10,8035
25,1,M,10,6437
26,1,F,10,98103
27,18,M,4,80302
28,18,F,0,28270
29,45,M,17,21742
30,35,F,3,55127
31,25,M,6,73118
32,25,F,5,91773
33,35,M,7,50265
34,25,M,12,45014
35,35,M,15,92627
36,25,M,0,98103
37,25,M,18,78757
38,35,M,7,6460
39,18,M,10,79605
40,1,M,19,73505
41,25,F,6,32812
42,35,M,3,11220
43,18,M,12,7070
44,35,M,15,94002
45,45,M,17,97124
46,25,F,1,17055
47,25,M,0,60201
48,35,M,17,20009
49,18,M,4,97215
50,18,M,4,98225
51,25,M,15,60513
52,25,M,7,98102
53,18,M,4,80521
54,25,F,3,2828
55,1,M,10,8872
56,35,M,1,6417
57,25,M,1,24060
58,18,M,0,23455-4959
59,35,F,12,75240
60,25,M,3,64068
61,25,M,0,46240
62,45,M,19,60626
63,45,M,16,60302
64,25,M,12,10458
65,25,M,1,75207
66,25,F,14,11215
67,18,M,4,6459
68,1,F,10,4240
69,25,F,1,45056
70,25,M,0,33142
71,35,M,20,94122
72,35,M,17,6854
73,25,M,0,40515
74,18,M,0,60618
75,25,M,4,91325
76,35,M,1,60640
77,18,M,3,55422
78,35,M,7,8021
79,45,M,7,98028
80,18,M,12,55408
81,25,M,16,60614
82,25,F,12,94131
83,45,M,14,22901
84,25,M,17,55454
85,18,M,4,97333
86,45,M,7,37343
87,25,M,14,94110
88,25,M,0,20008
89,18,M,14,94070
90,25,M,20,55410
91,35,F,7,10024
92,25,F,0,55108
93,25,M,17,60153
94,18,F,4,63332
95,18,M,14,10024
96,25,M,17,27707
97,35,F,11,5602
98,35,M,14,33701
99,25,M,12,78660
100,35,M,1,20653
101,18,M,3,55107
102,50,F,2,94530
103,50,M,1,4240
104,25,F,6,79416
105,18,M,0,92122
106,35,M,19,20871
107,25,F,0,60640
108,45,F,9,3862
109,25,M,5,55447
110,35,F,17,55082
111,25,F,0,55408
112,25,M,14,60061
113,25,M,0,34952
114,35,F,9,6854
115,45,M,7,1581
116,35,M,7,2127
117,18,M,4,2453
118,35,F,16,2472
119,18,F,19,60641
120,25,M,19,59602
121,25,M,6,46835
122,25,M,12,98112
